Local time,Open,High,Low,Close,Volume
14.06.2022 03:00:00.000 GMT+0300,1.04148,1.04846,1.03970,1.04367,254901.1875
15.06.2022 03:00:00.000 GMT+0300,1.04368,1.05077,1.03590,1.04573,389854.7188
16.06.2022 03:00:00.000 GMT+0300,1.04573,1.06014,1.03808,1.05464,331903.3438
17.06.2022 03:00:00.000 GMT+0300,1.05465,1.05520,1.04444,1.04934,272412.0625
18.06.2022 03:00:00.000 GMT+0300,1.04934,1.04934,1.04934,1.04934,0
19.06.2022 03:00:00.000 GMT+0300,1.04731,1.04926,1.04729,1.04898,6417.2319
20.06.2022 03:00:00.000 GMT+0300,1.04897,1.05458,1.04848,1.05172,158781.75
21.06.2022 03:00:00.000 GMT+0300,1.05173,1.05824,1.05131,1.05312,177035.0156
22.06.2022 03:00:00.000 GMT+0300,1.05311,1.06057,1.04687,1.05646,241049.0313
23.06.2022 03:00:00.000 GMT+0300,1.05646,1.05810,1.04826,1.05192,292499.4375
24.06.2022 03:00:00.000 GMT+0300,1.05192,1.05712,1.05120,1.05519,150660.5938
25.06.2022 03:00:00.000 GMT+0300,1.05519,1.05519,1.05519,1.05519,0
26.06.2022 03:00:00.000 GMT+0300,1.05479,1.05746,1.05457,1.05665,13871.3096
27.06.2022 03:00:00.000 GMT+0300,1.05665,1.06150,1.05502,1.05797,197796.9063
28.06.2022 03:00:00.000 GMT+0300,1.05797,1.06061,1.05032,1.05220,276169
29.06.2022 03:00:00.000 GMT+0300,1.05219,1.05354,1.04352,1.04456,304391.25
30.06.2022 03:00:00.000 GMT+0300,1.04456,1.04887,1.03824,1.04783,261501.5938
01.07.2022 03:00:00.000 GMT+0300,1.04783,1.04783,1.03658,1.04262,165758.9063
02.07.2022 03:00:00.000 GMT+0300,1.04262,1.04262,1.04262,1.04262,0
03.07.2022 03:00:00.000 GMT+0300,1.04174,1.04370,1.04142,1.04322,7595.9399
04.07.2022 03:00:00.000 GMT+0300,1.04322,1.04627,1.04170,1.04326,166751.0469
05.07.2022 03:00:00.000 GMT+0300,1.04325,1.04485,1.02350,1.02565,287939.8438
06.07.2022 03:00:00.000 GMT+0300,1.02564,1.02765,1.01614,1.01843,259766.9375
07.07.2022 03:00:00.000 GMT+0300,1.01841,1.02209,1.01439,1.01683,117532.0703
08.07.2022 03:00:00.000 GMT+0300,1.01682,1.01912,1.00720,1.01822,222545.8125
09.07.2022 03:00:00.000 GMT+0300,1.01822,1.01822,1.01822,1.01822,0
10.07.2022 03:00:00.000 GMT+0300,1.01697,1.01834,1.01648,1.01672,6178.7529
11.07.2022 03:00:00.000 GMT+0300,1.01674,1.01675,1.00336,1.00458,305613.4375
12.07.2022 03:00:00.000 GMT+0300,1.00456,1.00738,0.99999,1.00300,340173.6563
13.07.2022 03:00:00.000 GMT+0300,1.00300,1.01222,0.99979,1.00342,391916.125
14.07.2022 03:00:00.000 GMT+0300,1.00341,1.00503,0.99521,1.00263,482193.2813
15.07.2022 03:00:00.000 GMT+0300,1.00263,1.00979,1.00068,1.00821,251956.2656
16.07.2022 03:00:00.000 GMT+0300,1.00821,1.00821,1.00821,1.00821,0
17.07.2022 03:00:00.000 GMT+0300,1.00811,1.00978,1.00785,1.00972,7999.4902
18.07.2022 03:00:00.000 GMT+0300,1.00972,1.02011,1.00812,1.01463,227759.5156
19.07.2022 03:00:00.000 GMT+0300,1.01464,1.02690,1.01195,1.02307,284255.7188
20.07.2022 03:00:00.000 GMT+0300,1.02308,1.02729,1.01553,1.01807,216206.1875
21.07.2022 03:00:00.000 GMT+0300,1.01808,1.02781,1.01531,1.02200,297965.4375
22.07.2022 03:00:00.000 GMT+0300,1.02200,1.02553,1.01297,1.02119,322511.0313
23.07.2022 03:00:00.000 GMT+0300,1.02119,1.02119,1.02119,1.02119,0
24.07.2022 03:00:00.000 GMT+0300,1.02083,1.02185,1.01989,1.01991,15456.2305
25.07.2022 03:00:00.000 GMT+0300,1.01992,1.02578,1.01784,1.02229,311380.7813
26.07.2022 03:00:00.000 GMT+0300,1.02229,1.02500,1.01074,1.01285,262714.4063
27.07.2022 03:00:00.000 GMT+0300,1.01285,1.02206,1.00966,1.02052,253451.1563
28.07.2022 03:00:00.000 GMT+0300,1.02052,1.02343,1.01138,1.01918,307912.4688
29.07.2022 03:00:00.000 GMT+0300,1.01920,1.02542,1.01460,1.02248,420713.9063
30.07.2022 03:00:00.000 GMT+0300,1.02248,1.02248,1.02248,1.02248,0
31.07.2022 03:00:00.000 GMT+0300,1.02098,1.02240,1.02053,1.02102,22907.7871
01.08.2022 03:00:00.000 GMT+0300,1.02102,1.02751,1.02075,1.02627,531573.3125
02.08.2022 03:00:00.000 GMT+0300,1.02629,1.02939,1.01545,1.01563,646780.8125
03.08.2022 03:00:00.000 GMT+0300,1.01562,1.02102,1.01226,1.01565,615301.25
04.08.2022 03:00:00.000 GMT+0300,1.01563,1.02537,1.01542,1.02472,464582.0313
05.08.2022 03:00:00.000 GMT+0300,1.02472,1.02482,1.01415,1.01825,376920.3125
06.08.2022 03:00:00.000 GMT+0300,1.01825,1.01825,1.01825,1.01825,0
07.08.2022 03:00:00.000 GMT+0300,1.01726,1.01786,1.01691,1.01719,8896.79
08.08.2022 03:00:00.000 GMT+0300,1.01718,1.02217,1.01590,1.01978,229718.1094
09.08.2022 03:00:00.000 GMT+0300,1.01976,1.02472,1.01885,1.02079,248252.9844
10.08.2022 03:00:00.000 GMT+0300,1.02077,1.03685,1.02020,1.02986,430065.3438
11.08.2022 03:00:00.000 GMT+0300,1.02986,1.03642,1.02752,1.03203,481441.4375
12.08.2022 03:00:00.000 GMT+0300,1.03202,1.03251,1.02380,1.02590,399294.0938
13.08.2022 03:00:00.000 GMT+0300,1.02590,1.02590,1.02590,1.02590,0
14.08.2022 03:00:00.000 GMT+0300,1.02551,1.02629,1.02534,1.02534,14567.7803
15.08.2022 03:00:00.000 GMT+0300,1.02533,1.02682,1.01533,1.01613,402592.0625
16.08.2022 03:00:00.000 GMT+0300,1.01614,1.01948,1.01225,1.01694,420079.1563
17.08.2022 03:00:00.000 GMT+0300,1.01696,1.02029,1.01453,1.01773,433024
18.08.2022 03:00:00.000 GMT+0300,1.01774,1.01929,1.00795,1.00893,393070
19.08.2022 03:00:00.000 GMT+0300,1.00893,1.00954,1.00318,1.00326,371412.25
20.08.2022 03:00:00.000 GMT+0300,1.00326,1.00326,1.00326,1.00326,0
21.08.2022 03:00:00.000 GMT+0300,1.00366,1.00404,1.00302,1.00360,24606.2207
22.08.2022 03:00:00.000 GMT+0300,1.00361,1.00466,0.99260,0.99380,417896.6875
23.08.2022 03:00:00.000 GMT+0300,0.99381,1.00181,0.99002,0.99662,525663
24.08.2022 03:00:00.000 GMT+0300,0.99661,0.99993,0.99099,0.99677,470321.6563
25.08.2022 03:00:00.000 GMT+0300,0.99677,1.00334,0.99490,0.99706,498651.1563
